case,run_id,attempt,seed,variant,status,exact_payload_match,artifact_available,failure_count,scan_pass_rate,module_error_rate,changed_pixel_ratio,mean_absolute_change,entropy_bits,clipped_pixel_ratio,brightness_mean,contrast_std,sharpness_laplacian
cosmetics-organic,0a209fab-2131-4c19-b025-cf8d5d9adfc5,1,31415,guided,rejected,False,True,26,0.0,0.107455,0.4133720397949219,0.048880772808798004,7.622539827891281,0.060894012451171875,0.5836594824697457,0.6861670510961249,2682.5128913947847
cosmetics-organic,0a209fab-2131-4c19-b025-cf8d5d9adfc5,1,31415,guided_latent_srl,rejected,False,True,26,0.0,0.108705,0.5696334838867188,0.06065058988683364,7.642169388681898,0.06755828857421875,0.5766677856445312,0.6778970133735532,2511.15419237873
cosmetics-organic,0a209fab-2131-4c19-b025-cf8d5d9adfc5,1,31415,guided_latent_rounded_16,rejected,True,False,1,0.961538,0.0,0.6987533569335938,0.13009631587009804,6.404348740758406,0.43011474609375,0.62250129849303,0.8115293852332388,4370.431751245966
cosmetics-organic,0a209fab-2131-4c19-b025-cf8d5d9adfc5,1,31415,guided_latent_rounded_32,rejected,True,False,2,0.923077,0.0,0.71307373046875,0.13740524092530892,5.0666620116624195,0.5618171691894531,0.6276265761431525,0.8277823926626559,4288.2154541015625
cosmetics-organic,0a209fab-2131-4c19-b025-cf8d5d9adfc5,1,31415,guided_latent_rounded_48,accepted,True,False,0,1.0,0.0,0.7311439514160156,0.1434912588082108,6.17130788582309,0.45550537109375,0.6307259353936887,0.829982179926296,4211.408451075067
industrial-technical,44f71a20-cf22-47ad-a18e-c38e0ea6f3b7,1,271828,raw,rejected,False,True,26,0.0,0.137026,0.0,0.0,6.540067205265492,0.13390731811523438,0.6200742684158624,0.7815738030158211,4141.264242845922
industrial-technical,44f71a20-cf22-47ad-a18e-c38e0ea6f3b7,1,271828,guided,rejected,False,True,26,0.0,0.138276,0.2737693786621094,0.051828426784939235,6.834396651146527,0.13595199584960938,0.6111408308440563,0.7789649064405464,3876.95844922954
industrial-technical,44f71a20-cf22-47ad-a18e-c38e0ea6f3b7,1,271828,guided_latent_srl,rejected,False,True,26,0.0,0.134111,0.3771553039550781,0.063688275704976,6.886973345736314,0.15198898315429688,0.6077599020565257,0.773419882604761,3614.781032600382
industrial-technical,44f71a20-cf22-47ad-a18e-c38e0ea6f3b7,1,271828,guided_latent_rounded_16,rejected,True,False,2,0.923077,0.0,0.6410064697265625,0.13160405377157375,5.520744728015713,0.5085945129394531,0.644310266831342,0.8417105606994535,5370.386044940911
industrial-technical,44f71a20-cf22-47ad-a18e-c38e0ea6f3b7,1,271828,guided_latent_rounded_32,rejected,True,False,2,0.923077,0.0,0.6705970764160156,0.13568447836084305,4.726382233440932,0.6110572814941406,0.6471089531393612,0.8551890251587592,5260.779281616211
industrial-technical,44f71a20-cf22-47ad-a18e-c38e0ea6f3b7,1,271828,guided_latent_rounded_48,accepted,True,False,0,1.0,0.0,0.6584548950195312,0.141071972815819,5.3607182608866175,0.5263900756835938,0.6496550167308134,0.851846058453095,5107.807843646966
dense-payload,c4e1e5c1-9069-472d-904d-f15c82a78447,1,9001,raw,rejected,False,True,26,0.0,0.268851,0.0,0.0,7.770417462299158,0.016193389892578125,0.5597949308507583,0.5424209675077419,4530.401647452132
dense-payload,c4e1e5c1-9069-472d-904d-f15c82a78447,1,9001,guided,rejected,False,True,26,0.0,0.280613,0.7509193420410156,0.08559054206399357,7.775438614075444,0.010784149169921875,0.5565093096564798,0.5070443598436865,3714.861352188731
dense-payload,c4e1e5c1-9069-472d-904d-f15c82a78447,1,9001,guided_latent_srl,rejected,False,True,26,0.0,0.256669,0.864013671875,0.10287061205097273,7.745649038885059,0.020076751708984375,0.5502260395124847,0.49011305833690333,3136.928317538215
dense-payload,c4e1e5c1-9069-472d-904d-f15c82a78447,1,9001,guided_latent_rounded_16,rejected,True,False,8,0.692308,0.0,0.9324531555175781,0.2731771082659952,6.72809173095172,0.21287918090820312,0.5891158309637331,0.7897856658914681,7368.7926252176985
dense-payload,c4e1e5c1-9069-472d-904d-f15c82a78447,1,9001,guided_latent_rounded_32,rejected,True,False,3,0.884615,0.0,0.9355850219726562,0.2730632956511055,5.083214371594827,0.5634918212890625,0.602917854458678,0.8070645240299966,7191.908805847168
dense-payload,c4e1e5c1-9069-472d-904d-f15c82a78447,1,9001,guided_latent_rounded_48,accepted,True,False,0,1.0,0.0,0.9393768310546875,0.2836202933118234,6.36106465815315,0.23789215087890625,0.6093907075769761,0.8084068870762136,6329.168792515062
